Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ghana,GHA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,6.8,7.5,8.2,8.9,9.8,10.7,11.8,12.75,13.8,15.3,16.6,17.6,19.1,20.2,21.6,22.9,24.2,25.9,26.9,28.3,29.7,31.0,
Ghana,GHA,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.3,1.5,1.7,1.9,2.1,2.4,2.7,3.0,3.5,3.9,4.4,4.9,5.5,6.1,6.7,7.4,8.2,8.9,9.9,10.7,11.7,12.7,
Ghana,GHA,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,15.1,16.3,17.5,18.7,20.2,21.7,22.8,24.6,26.4,28.1,29.9,31.6,33.3,35.1,36.4,37.9,39.3,40.7,42.0,43.1,44.5,45.7,
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,30.36940574646,32.4504508972168,34.5287704467773,36.6036949157715,42.6,40.7405395507813,43.7,44.8,46.8,48.3,50.8,41.3,55.1,56.9,60.5,61.1,64.2,64.1,56.5,70.7,78.3,74.0,79.3,79.0,80.4,83.5,85.4,86.3,85.1,
Ghana,GHA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88737399274898,1.58188327755997,3.69449260642638,5.84076189699466,8.02875403552628,13.2811809712728,12.5339851120814,14.9,17.4,19.8,24.0,24.7,7.9,31.4,32.4,36.8,37.9,55.4,42.0,23.6,50.8,64.0,57.0,66.6,65.3,68.3,70.0,73.1,74.0,71.6,
Ghana,GHA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6,74.6652145385742,75.3336563110352,75.9894561767578,76.6294631958008,82.4,77.8511276245117,80.5,78.9,79.5,76.9,80.7,78.4,80.7,82.7,84.8,84.2,72.8,85.0,86.8,88.5,90.8,88.4,89.8,90.0,89.9,93.8,94.6,95.2,95.0,
Ghana,GHA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.43,,,40.51,,,57.72,,,,68.23,,
Ghana,GHA,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.09,,,39.38,,,53.72,,,,62.58,,
Ghana,GHA,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.85,,,41.67,,,61.79,,,,74.18,,
Ghana,GHA,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.88,,,42.44,,,61.83,,,,69.67,,
Ghana,GHA,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.39,,,33.52,,,48.34,,,,54.72,,
Ghana,GHA,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.45,,,24.87,,,49.39,,,,51.59,,
Ghana,GHA,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.74,,,45.15,,,63.94,,,,77.2,,
